"In the light of the moon a little egg lay on a leaf.",0
"One Sunday morning the warm sun cam up...",0
"and POP, out of the egg came a tiny, very hungry caterpillar.",0
"The caterpillar started looking for some food.",0
"On Monday he ate through one apple. But he was still hungry.",0
"On Tuesday he ate through two pears, but he was still hungry.",0
"On Wednesday he ate through three plums, but he was still hungry.",0
"On Thursday he ate through four strawberries, but he was still hungry.",0
"On Friday he ate through five oranges, but he was still hungry.",0
"On Saturday he ate through one piece of chocolate cake,",0
"One ice-cream cone,",0
"One pickle,",0
"One slice of Swiss cheese,The Very",0
"One slice of salami,",0
"One lollipop,",0
"One piece of cherry pie,",0
"One sausage,",0
"One cupcake,",0
"And one slice of watermelon.",0
"That night he had a stomach ache!",0
"The next day was Sunday again.",0
"The caterpillar ate through one nice leaf, and after that he felt better.",0
"Now he wasn't hungry anymore--and he wasn't a little caterpillar anymore.",0
"He was a big fat caterpillar.",0
"He built a small house,",0
"Called a cocoon,",0
"Around himself.",0
"He stayed inside for more than two weeks.",0
"Then he nibbled a hole in the cocoon, pushed his way out and...",0
"He became a beautiful butterfly!",0